Date	Price	Open	High	Low	Vol.	Change %				
"May 19, 2021"	143.19	142.27	143.19	140.96	4.30M	-0.5				
"May 18, 2021"	143.91	144.89	145.28	143.24	3.82M	-0.83				
"May 17, 2021"	145.11	144.68	145.78	144.46	4.28M	0.3				Difference:11.74
"May 14, 2021"	144.68	145.11	145.69	143.96	2.75M	0.35				
"May 13, 2021"	144.17	141.45	144.9	141.45	4.60M	2.03				Average:143.66
"May 12, 2021"	141.3	143.57	144.12	141.16	5.96M	-2.02				
"May 11, 2021"	144.22	144.99	145.15	142.9	7.13M	-1.33				
"May 10, 2021"	146.17	145.87	148.36	145.86	6.98M	0.49				
"May 07, 2021"	145.46	145.92	146.14	144.57	7.00M	-1.99				
"May 06, 2021"	148.42	145.34	148.51	145.22	7.50M	2.2				
"May 05, 2021"	145.22	145.94	145.77	144.97	3.62M	-0.36				
"May 04, 2021"	145.75	144.41	146.59	144.33	6.35M	0.69				
"May 03, 2021"	144.75	143.81	145.75	143.55	5.73M	2.02				
"Apr 30, 2021"	141.88	143.7	143.83	140.55	8.87M	-1.64				
"Apr 29, 2021"	144.24	144.15	144.65	142.99	4.35M	0.87				
"Apr 28, 2021"	143	142.42	143.4	142.1	3.77M	0.7				
"Apr 27, 2021"	142.01	141.55	142.52	140.78	3.88M	0.31				
"Apr 26, 2021"	141.57	142.38	143.61	141.49	4.71M	-0.6				
"Apr 23, 2021"	142.43	141.31	143.61	140.95	4.56M	0.81				
"Apr 22, 2021"	141.28	143.56	144.72	141.02	7.10M	-1.58				
"Apr 21, 2021"	143.55	138.11	143.72	137.89	11.91M	3.9				
"Apr 20, 2021"	138.16	137	139.77	136.77	15.48M	3.79				
										
	Highest:148.51	Lowest:136.77			Change %:7.56					
